Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
EnGro,S44,ENGR.SI,150.752,129.642,2.97,1.97,Mineral Resources,71
Envictus,BQD,ETIK.SI,31.343,119.84,,,Cyclical Consumer Services,51
Enviro-Hub,L23,EHHL.SI,93.513,40.423,30.05,,Industrial & Commercial Services,66
Epicentre,5MQ,EPHL.SI,2.946,-3.175,,,Retailers,54
ES,5RC,ESGL.SI,6.354,20.949,,,Industrial Goods,73
ESR-LOGOS REIT,J91U,ESRO.SI,2568.923,241.286,15.35,,Real Estate,89.6
ETC Singapore,1C0,EMER.SI,33.39,9.358,,,Real Estate,82
EuroSports Gbl,5G1,EURO.SI,41.075,45.827,,,Retailers,82
Excelpoint,BDF,EXCE.SI,225.722,2207.003,6.64,2.12,Technology Equipment,67
Ezra,5DN,EZRA.SI,32.825,725.017,,,Energy - Fossil Fuels,30
F & N,F99,FRNM.SI,1976.828,1900.588,16.15,3.68,Food & Beverages,71
Falcon Energy,5FL,FEGL.SI,23.667,40.638,,,Energy - Fossil Fuels,50
Far East,5TJ,FAEA.SI,12.93,83.085,,1.55,Industrial Goods,64
Far East HTrust,Q5T,FAEH.SI,1299.109,83.248,9.89,3.36,Real Estate,113.8
Far East Orchard,O10,FARE.SI,497.051,106.828,17.69,2.8,Cyclical Consumer Services,92
Federal Int,BDU,FEDL.SI,12.528,59.816,37.39,,Energy - Fossil Fuels,80
Figtree,5F4,FIGT.SI,13.657,15.347,,5.26,Real Estate,52
First Reit,AW9U,FRET.SI,574.254,102.346,7.22,9.26,Real Estate,66.8
First Resources,EB5,FRLD.SI,3299.786,1425.265,14.77,3.02,Food & Beverages,88
First Sponsor,ADN,FSCA.SI,1118.227,589.17,13.21,2.85,Real Estate,88
FJ Benjamin,F10,FJBN.SI,23.746,65.048,,,Retailers,59
Food Empire,F03,FEMP.SI,282.582,441.926,10.59,3.06,Food & Beverages,41
Forise Int,8A1,FOIL.SI,4.09,1.686,,,Industrial & Commercial Services,
FortressMinerals,OAJ,FORR.SI,223.19,59.876,11.23,2.22,Mineral Resources,67
Frasers Cpt Tr,J69U,FCRT.SI,3964.843,343.721,20.76,4.41,Real Estate,83.3
Frasers HTrust,ACV,FRHO.SI,1155.644,89.704,69.44,2.48,Real Estate,75.6
Frasers L&C Tr,BUOU,FRAE.SI,4988.982,473.297,5.45,5.58,Real Estate,107.4
Frasers Property,TQ5,FRPL.SI,4318.646,3881.163,6.65,1.82,Real Estate,87
Frencken,E28,FREN.SI,491.079,767.069,8.38,3.59,Industrial Goods,71
FSL Trust,D8DU,FSLT.SI,115.753,33.788,,70.38,Transportation,68.5
Fu Yu,F13,FUYU.SI,195.779,195.531,11.13,6.35,Industrial Goods,69
Fuji Offset,508,FOPS.SI,13.976,4.053,14.93,1.07,Industrial Goods,70
Full Apex,BTY,FULL.SI,18.137,204.309,,,Applied Resources,7
Fuxing China,AWK,FXCG.SI,12.396,157.725,1.02,,Cyclical Consumer Products,59
G Invacom,QS9,GLOB.SI,17.088,113.964,21.17,,Technology Equipment,81
G K Goh,G41,GKHS.SI,293.017,26.277,293.27,2.19,Banking & Investment Services,69
Gallant Venture,5IG,GLVT.SI,699.341,145.105,,,Automobiles & Auto Parts,73
GCCP,41T,GCCP.SI,19.138,1.868,,,Mineral Resources,54
GDS Global,5VP,GDSG.SI,4.704,12.991,,,Cyclical Consumer Products,70
Genting Sing,G13,GENS.SI,9312.4,1067.296,50.89,1.3,Cyclical Consumer Services,74
Geo Energy Res,RE4,GEOE.SI,683.578,886.256,2.75,21.65,Energy - Fossil Fuels,80
GHY Culture,XJB,GHYC.SI,601.324,83.319,154.27,0.18,Cyclical Consumer Services,
GKE,595,GKEC.SI,80.265,113.92,8.88,3.96,Transportation,66
Global Dragon,586,GLOL.SI,80.473,89.956,9.26,2.54,Real Estate,50
Global Inv,B73,GLNV.SI,262.024,22.005,16.4,5.26,Collective Investments,98
Global Palm Res,BLW,GPRL.SI,50.455,50.19,7.17,8.46,Food & Beverages,59
Global Testing,AYN,GTCL.SI,42.952,53.473,3.31,16.26,Technology Equipment,82
Golden Agri-Res,E5H,GAGR.SI,3501.919,14059.027,5.27,5.84,Food & Beverages,94
Golden Energy,AUE,GOLD.SI,1975.739,2587.566,11.17,,Energy - Fossil Fuels,64
Goodland,5PC,GLGP.SI,55.169,25.576,48.95,1.07,Real Estate,65
GP Industries,G20,GPEI.SI,318.029,1224.828,9.01,2.05,Industrial Goods,81
Grand Banks,G50,GBYL.SI,53.544,96.061,12.67,1.72,Cyclical Consumer Products,64
Grand Venture,JLB,GRAN.SI,291.789,116.256,14.6,1.16,Industrial Goods,75
Great Eastern,G07,GELA.SI,9532.646,19899.9,8.56,3.23,Insurance,108
