Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Y Ventures,1F1,YVEN.SI,8.57,42.139,,,Software & IT Services,69
Yamada Green Res,BJV,YAMR.SI,59.955,12.134,,,Food & Beverages,38
Yanlord Land,Z25,YNLG.SI,2101.86,7169.13,3.81,6.3,Real Estate,78
Yeo Hiap Seng,Y03,YHSS.SI,487.297,337.903,,2.42,Food & Beverages,86
YHI Intl,BPF,YHII.SI,143.225,444.718,6.72,7.35,Automobiles & Auto Parts,59
Ying Li Intl,5DM,YING.SI,132.791,47.093,,,Real Estate,69
Yoma Strategic,Z59,YOMA.SI,304.067,110.402,,,Real Estate,106
Yongmao,BKX,YNMH.SI,63.816,258.911,4.16,1.39,Industrial Goods,65
Yongnam,AXB,YNAM.SI,19.43,121.912,,,Industrial & Commercial Services,71
Yunnan Energy,T43,1298.HK,275.437,84.106,,,Technology Equipment,43
YuuZoo Networks,AFC,YUUZ.SI,30.361,15.733,,,Software & IT Services,-12
YZJ Fin Hldg,YF8,YANZ.SI,1549.89,,,,Banking & Investment Services,
YZJ Shipbldg CNY,SO7,,,,,,,
YZJ Shipbldg SGD,BS6,YAZG.SI,3532.264,3451.062,4.51,5.62,Industrial Goods,61
Zheneng Jinjiang,BWM,ZHEN.SI,551.801,,,,Renewable Energy,64
Zhongmin Baihui,5SR,ZBRG.SI,137.243,220.188,,2.86,Retailers,63
Zhongxin Fruit,5EG,ZHON.SI,25.298,26.89,3.57,,Food & Beverages,64
ZICO Hldgs,40W,ZICO.SI,26.983,21.65,91.19,,Banking & Investment Services,86
